District,Long Name,Member
78,George Alvarez,Alvarez
31,Khaleel Anderson,Anderson
121,Joe Angelino,Angelino
37,Juan Ardila,Ardila
35,Jeffrion L. Aubry,Aubry
120,William A. Barclay,Barclay
106,Didi Barrett,Barrett
105,Anil Beephan Jr.,Beephan
107,Scott H. Bendett,Bendett
82,Michael Benedetto,Benedetto
42,Rodneyse Bichotte Hermelyn,Bichotte
117,Ken Blankenbush,Blankenbush
15,Jake Blumencranz,Blumencranz
73,Alex Bores,Bores
98,Karl Brabenec,Brabenec
26,Edward C. Braunstein,Braunstein
138,Harry B. Bronson,Bronson
46,Alec Brook-Krasny,Brook-Krasny
20,Eric Ari Brown,Brown E
12,Keith Brown,Brown K
93,Chris Burdick,Burdick
85,Kenny Burgos,Burgos
142,Pat Burke,Burke
119,Marianne Buttenschon,Buttenschon
133,Majorie Byrnes,Byrnes
44,Robert C. Carroll,Carroll
58,Monique Chandler-Waterman,Chandler-Waterm
49,Lester Chang,Chang
136,Sarah Clark,Clark
47,William Colton,Colton
140,William Conrad,Conrad
32,Vivian E. Cook,Cook
39,Catalina Cruz,Cruz
43,Brian A. Cunningham,Cunningham
21,Brian Curran,Curran
18,Taylor Darling,Darling
53,Maritza Davila,Davila
72,Manny De Los Santos,De Los Santos
3,Joe DeStefano,DeStefano
147,David DiPietro,DiPietro
70,Inez Dickens,Dickens
54,Erik M. Dilan,Dilan
81,Jeffrey Dinowitz,Dinowitz
9,Michael Durso,Durso
99,Christopher Eachus,Eachus
48,Simcha Eichenstein,Eichenstein
74,Harvey Epstein,Epstein
109,Patricia Fahy,Fahy
61,Charles D. Fall,Fall
8,Michael J. Fitzpatrick,Fitzpatrick
4,Edward Flood,Flood
57,Phara Souffrant Forrest,Forrest
124,Christopher S. Friend,Friend
50,Emily Gallagher,Gallagher
131,Jeff Gallahan,Gallahan
7,Jarett Gandolfo,Gandolfo
68,Edward Gibbs,Gibbs
2,Jodi Giglio,Giglio JA
148,Joseph M. Giglio,Giglio JM
66,Deborah J. Glick,Glick
34,Jessica González-Rojas,Gonzalez-Rojas
150,Andy Goodell,Goodell
116,Scott Gray,Gray
100,Aileen Gunther,Gunther
139,Stephen Hawley,Hawley
28,Andrew Hevesi,Hevesi
128,Pamela J. Hunter,Hunter
29,Alicia Hyndman,Hyndman
79,Chantel Jackson,Jackson
104,Jonathan G. Jacobson,Jacobson
11,Kimberly Jean-Pierre,Jean-Pierre
134,Josh Jensen,Jensen
115,Billy Jones,Jones
77,Latoya Joyner,Joyner
125,Anna Kelles,Kelles
40,Ron Kim,Kim
13,Charles D. Lavine,Lavine
65,Grace Lee,Lee
126,John Lemondes,Lemondes
95,Dana Levenberg,Levenberg
60,Nikki Lucas,Lucas
135,Jennifer Lunsford,Lunsford
123,Donna A. Lupardo,Lupardo
129,William B. Magnarelli,Magnarelli
101,Brian Maher,Maher
36,Zohran Mamdani,Mamdani
130,Brian Manktelow,Manktelow
108,"John T. McDonald, III",McDonald
14,David G. McDonough,McDonough
97,John W. McGowan,McGowan
146,Karen McMahon,McMahon
137,Demond Meeks,Meeks
17,John Mikulin,Mikulin
122,Brian Miller,Miller
51,Marcela Mitaynes,Mitaynes
145,Angelo Morinello,Morinello
83,Carl E. Heastie,Mr. Speaker
144,Michael Norris,Norris
45,Michael Novakhov,Novakhov
69,Daniel J. O'Donnell,O'Donnell
91,Steven Otis,Otis
132,Philip A. Palmesano,Palmesano
88,Amy Paulin,Paulin
141,Crystal D. Peoples-Stokes,Peoples-Stokes
23,Stacey Pheffer Amato,Pheffer Amato
63,Samuel Pirozzolo,Pirozzolo
89,J. Gary Pretlow,Pretlow
19,Edward P. Ra,Ra
30,Steven Raga,Raga
38,Jenifer Rajkumar,Rajkumar
6,Phil Ramos,Ramos
62,Michael Reilly,Reilly
87,Karines Reyes,Reyes
149,Jonathan Rivera,Rivera
27,Daniel Rosenthal,Rosenthal D
67,Linda B. Rosenthal,Rosenthal L
25,Nily D. Rozic,Rozic
111,Angelo Santabarbara,Santabarbara
90,Nader J Sayegh,Sayegh
76,Rebecca Seawright,Seawright
84,Amanda Septimo,Septimo
92,Maryjane Shimsky,Shimsky
103,Sarahana Shrestha,Shrestha
16,Gina Sillitti,Sillitti
52,Jo Anne Simon,Simon
75,Tony Simone,Simone
114,Matthew Simpson,Simpson
94,Matthew Slater,Slater
5,Douglas M. Smith,Smith
118,Robert Smullen,Smullen
22,Michaelle C. Solages,Solages
110,Phil Steck,Steck
10,Steve Stern,Stern
127,Al Stirpe,Stirpe
102,Chris Tague,Tague
64,Michael Tannousis,Tannousis
86,Yudelka Tapia,Tapia
71,Al Taylor,Taylor
1,"Fred W. Thiele, Jr.",Thiele
33,Clyde Vanel,Vanel
55,Latrice Walker,Walker
143,Monica P. Wallace,Wallace
112,Mary Beth Walsh,Walsh
41,Helene E. Weinstein,Weinstein
24,David I. Weprin,Weprin
59,Jaime Williams,Williams
113,Carrie Woerner,Woerner
80,John Zaccaro Jr.,Zaccaro
96,Kenneth Zebrowski,Zebrowski
56,Stefani Zinerman,Zinerman
